range,country
001 – 019,united states
030 – 039,united states
050 – 059,united states
060 – 139,united states
300 – 379,France
380,Bulgaria
383,slovenia
385,Croatia
387,Bosnia & Herzegovina
389,Montenegro
400 – 440,Germany
490 – 499,Japan
450 – 459,Japan
460 – 469,Russia
470,Kyrgyzstan
471,taiwan
474,Estonia
475,Latvia
476,Azerbaijan
477,Lithuania
478,Uzbekistan
479,Sri Lanka
480,Philippines
481,Belarus
482,Ukraine
483,Turkmenistan
484,Moldova
485,Armenia
486,Georgia
487,russia
488,Tajikistan
489,china
500 – 509,united kingdom
520 – 521,Greece
528,Lebanon
529,Cyprus
530,Albania
531,North Macedonia
535,Malta
539,Ireland
540 – 549,Belgium
560,Portugal
569,Iceland
570 – 579,Denmark
590,Poland
594,Romania
599,Hungary
600 – 601,South Africa
603,Ghana
604,Senegal
608,Bahrain
609,Mauritius
611,Morocco
613,Algeria
615,Nigeria
616,Kenya
617,Cameroon
618,Côte d’Ivoire
619,Tunisia
620,Tanzania
621,Syria
622,Egypt
623,Brunei
624,Libya
625,Jordan
626,Iran
627,Kuwait
628,Saudi Arabia
629,United Arab Emirates
640 – 649,Finland
690 – 699,China
700 – 709,Norway
729,Israel
730 – 739,Sweden
740,Guatemala
741,El Salvador
742,Honduras
743,Nicaragua
744,Costa Rica
745,Panama
746,Dominican Republic
750,Mexico
754 – 755,Canada
759,Venezuela
760 – 769,Switzerland
770 – 771,Colombia
773,Uruguay
775,Peru
777,Bolivia
778 – 779,Argentina
780,Chile
784,Paraguay
786,Ecuador
789 – 790,Brazil
800 – 839,italy
840 – 849,Spain
850,Cuba
858,Slovakia
859,Czechia
860,Serbia
865,Mongolia
867,North Korea
868 – 869,Turkey
870 – 879,Netherlands
880,South Korea
883,Myanmar (Burma)
884,Cambodia
885,Thailand
888,Singapore
890,India
893,Vietnam
896,Pakistan
899,Indonesia
900 – 919,Austria
930 – 939,Australia
940 – 949,New Zealand
955,Malaysia
958,china
